# SingleVariable
# List of ERA5 Single-Level Variables available in the CDS
# (1) ERA5 ID, (2) Full Name,(3) Units, (4) Analysis, (5) Forecast, (6) Invariant, (7) CDS Name, (8) NetCDF ID, (9) MARS ID, (10) DKRZ ID

vikee,Vertical integral of eastward kinetic energy flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_kinetic_energy_flux,p67.162,162067,0
viken,Vertical integral of northward kinetic energy flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_kinetic_energy_flux,p68.162,162068,0
vilwd,Vertical integral of divergence of cloud liquid water flux,kg m**-2 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_cloud_liquid_water_flux,p79.162,162079,0
vilwe,Vertical integral of eastward cloud liquid water flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_cloud_liquid_water_flux,p88.162,162088,0
vilwn,Vertical integral of northward cloud liquid water flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_cloud_liquid_water_flux,p89.162,162089,0
vima,Vertical integral of mass of atmosphere,kg m**-2,TRUE,TRUE,FALSE,vertical_integral_of_mass_of_atmosphere,p53.162,162053,0
vimad,Vertical integral of divergence of mass flux,kg m**-2 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_mass_flux,p81.162,162081,0
vimae,Vertical integral of eastward mass flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_mass_flux,p65.162,162065,0
viman,Vertical integral of northward mass flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_mass_flux,p66.162,162066,0
vimat,Vertical integral of mass tendency,kg m**-2 s**-1,TRUE,FALSE,FALSE,vertical_integral_of_mass_tendency,p92.162,162092,0
vimd,Vertically integrated moisture divergence,kg m**-2,FALSE,TRUE,FALSE,vertically_integrated_moisture_divergence,vimd,213,0
viozd,Vertical integral of divergence of ozone flux,kg m**-2 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_ozone_flux,p87.162,162087,0
vioze,Vertical integral of eastward ozone flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_ozone_flux,p77.162,162077,0
viozn,Vertical integral of northward ozone flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_ozone_flux,p78.162,162078,0
vipie,Vertical integral of potential+internal energy,J m**-2,TRUE,TRUE,FALSE,vertical_integral_of_potential_and_internal_energy,p61.162,162061,0
vipile,Vertical integral of potential+internal+latent energy,J m**-2,TRUE,TRUE,FALSE,vertical_integral_of_potential_internal_and_latent_energy,p62.162,162062,0
vit,Vertical integral of temperature,K kg m**-2,TRUE,TRUE,FALSE,vertical_integral_of_temperature,p54.162,162054,0
vithe,Vertical integral of thermal energy,J m**-2,TRUE,TRUE,FALSE,vertical_integral_of_thermal_energy,p60.162,162060,0
vithed,Vertical integral of divergence of thermal energy flux,W m**-2,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_thermal_energy_flux,p83.162,162083,0
vithee,Vertical integral of eastward heat flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_heat_flux,p69.162,162069,0
vithen,Vertical integral of northward heat flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_heat_flux,p70.162,162070,0
vitoe,Vertical integral of total energy,J m**-2,TRUE,TRUE,FALSE,vertical_integral_of_total_energy,p63.162,162063,0
vitoed,Vertical integral of divergence of total energy flux,W m**-2,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_total_energy_flux,p86.162,162086,0
vitoee,Vertical integral of eastward total energy flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_total_energy_flux,p75.162,162075,0
vitoen,Vertical integral of northward total energy flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_total_energy_flux,p76.162,162076,0
viwvd,Vertical integral of divergence of moisture flux,kg m**-2 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_moisture_flux,p84.162,162084,0
viwve,Vertical integral of eastward water vapour flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_water_vapour_flux,p71.162,162071,0
viwvn,Vertical integral of northward water vapour flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_water_vapour_flux,p72.162,162072,0
vst,V-component stokes drift,m s**-1,TRUE,TRUE,FALSE,v_component_stokes_drift,vst,140216,0
wdw,Wave spectral directional width,Radians,TRUE,TRUE,FALSE,wave_spectral_directional_width,wdw,140222,0
wind,10 metre wind direction,m s**-1,TRUE,TRUE,FALSE,ocean_surface_stress_equivalent_10m_neutral_wind_speed,wind,140245,0
wmb,Model bathymetry,m,TRUE,TRUE,FALSE,model_bathymetry,wmb,140219,0
wsk,Wave spectral kurtosis,dimensionless,TRUE,TRUE,FALSE,wave_spectral_kurtosis,wsk,140252,0
wsp,Wave spectral peakedness,dimensionless,TRUE,TRUE,FALSE,wave_spectral_peakedness,wsp,140254,0
wss,Wave Spectral Skewness,dimensionless,TRUE,TRUE,FALSE,wave_spectral_skewness,wss,140207,0
wstar,Free convective velocity over the oceans,m s**-1,TRUE,TRUE,FALSE,free_convective_velocity_over_the_oceans,p140208,140208,0
z,Geopotential,m**2 s**-2,TRUE,TRUE,TRUE,geopotential,z,129,129
zust,Friction velocity,m s**-1,FALSE,TRUE,FALSE,friction_velocity,zust,228003,259
