# SingleVariable
# List of ERA5 Single-Level Variables available in the CDS
# (1) ERA5 ID, (2) Full Name,(3) Units, (4) Analysis, (5) Forecast, (6) Invariant, (7) CDS Name, (8) NetCDF ID, (9) MARS ID, (10) DKRZ ID

istl4,Ice temperature layer 4,K,TRUE,TRUE,FALSE,ice_temperature_layer_4,istl4,38,38
kx,K index2,K,FALSE,TRUE,FALSE,k_index,kx,260121,0
lai_hv,"Leaf area index, high vegetation3",m**2 m**-2,TRUE,TRUE,FALSE,leaf_area_index_high_vegetation,lai_hv,67,67
lai_lv,"Leaf area index, low vegetation3",m**2 m**-2,TRUE,TRUE,FALSE,leaf_area_index_low_vegetation,lai_lv,66,66
lblt,Lake bottom temperature,K,TRUE,TRUE,FALSE,lake_bottom_temperature,lblt,228010,0
lcc,Low cloud cover,(0 - 1),TRUE,TRUE,FALSE,low_cloud_cover,lcc,186,186
lgws,Eastward gravity wave surface stress,N m**-2 s,FALSE,TRUE,FALSE,eastward_gravity_wave_surface_stress,lgws,195,195
licd,Lake ice depth,m,TRUE,TRUE,FALSE,lake_ice_depth,licd,228014,0
lict,Lake ice temperature,K,TRUE,TRUE,FALSE,lake_ice_temperature,lict,228013,0
lmld,Lake mix-layer depth,m,TRUE,TRUE,FALSE,lake_mix_layer_depth,lmld,228009,0
lmlt,Lake mix-layer temperature,K,TRUE,TRUE,FALSE,lake_mix_layer_temperature,lmlt,228008,0
lsf,Large-scale snowfall,m of water equivalent,FALSE,TRUE,FALSE,large_scale_snowfall,lsf,240,240
lshf,Lake shape factor,dimensionless,TRUE,TRUE,FALSE,lake_shape_factor,lshf,228012,0
lsm,Land-sea mask,(0 - 1),TRUE,TRUE,TRUE,land_sea_mask,lsm,172,172
lsp,Large-scale precipitation,m,FALSE,TRUE,FALSE,large_scale_precipitation,lsp,142,142
lspf,Large-scale precipitation fraction,s,FALSE,TRUE,FALSE,large_scale_precipitation_fraction,lspf,50,50
lsrr,Large scale rain rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,large_scale_rain_rate,lsrr,228219,475
lssfr,Large scale snowfall rate water equivalent,kg m**-2 s**-1,FALSE,TRUE,FALSE,large_scale_snowfall_rate_water_equivalent,lssfr,228221,477
ltlt,Lake total layer temperature,K,TRUE,TRUE,FALSE,lake_total_layer_temperature,ltlt,228011,0
mbld,Mean boundary layer dissipation,W m**-2,FALSE,TRUE,FALSE,mean_boundary_layer_dissipation,mbld,235032,0
mcc,Medium cloud cover,(0 - 1),TRUE,TRUE,FALSE,medium_cloud_cover,mcc,187,187
mcpr,Mean convective precipitation rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_convective_precipitation_rate,mcpr,235030,0
mcsr,Mean convective snowfall rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_convective_snowfall_rate,mcsr,235056,0
mdts,Mean direction of total swell,degrees,TRUE,TRUE,FALSE,mean_direction_of_total_swell,mdts,140238,0
mdww,Mean direction of wind waves,degrees,TRUE,TRUE,FALSE,mean_direction_of_wind_waves,mdww,140235,0
megwss,Mean eastward gravity wave surface stress,N m**-2,FALSE,TRUE,FALSE,mean_eastward_gravity_wave_surface_stress,megwss,235045,0
mer,Mean evaporation rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_evaporation_rate,mer,235043,0
metss,Mean eastward turbulent surface stress,N m**-2,FALSE,TRUE,FALSE,mean_eastward_turbulent_surface_stress,metss,235041,0
mgwd,Mean gravity wave dissipation,W m**-2,FALSE,TRUE,FALSE,mean_gravity_wave_dissipation,mgwd,235047,0
mgws,Northward gravity wave surface stress,N m**-2 s,FALSE,TRUE,FALSE,northward_gravity_wave_surface_stress,mgws,196,196
mlspf,Mean large-scale precipitation fraction,Proportion,FALSE,TRUE,FALSE,mean_large_scale_precipitation_fraction,mlspf,235026,0
mlspr,Mean large-scale precipitation rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_large_scale_precipitation_rate,mlspr,235029,0
mlssr,Mean large-scale snowfall rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_large_scale_snowfall_rate,mlssr,235057,0
mn2t,Minimum temperature at 2 metres since previous post-processing,K,FALSE,TRUE,FALSE,minimum_2m_temperature_since_previous_post_processing,mn2t,202,202
mngwss,Mean northward gravity wave surface stress,N m**-2,FALSE,TRUE,FALSE,mean_northward_gravity_wave_surface_stress,mngwss,235046,0
mntpr,Minimum total precipitation rate since previous post-processing,kg m**-2 s**-1,FALSE,TRUE,FALSE,minimum_total_precipitation_rate_since_previous_post_processing,mntpr,228227,0
mntss,Mean northward turbulent surface stress,N m**-2,FALSE,TRUE,FALSE,mean_northward_turbulent_surface_stress,mntss,235042,0
mp1,Mean wave period based on first moment,s,TRUE,TRUE,FALSE,mean_wave_period_based_on_first_moment,mp1,140220,0
mp2,Mean zero-crossing wave period,s,TRUE,TRUE,FALSE,mean_zero_crossing_wave_period,mp2,140221,0
mper,Mean potential evaporation rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_potential_evaporation_rate,mper,235070,0
mpts,Mean period of total swell,s,TRUE,TRUE,FALSE,mean_period_of_total_swell,mpts,140239,0
mpww,Mean period of wind waves,s,TRUE,TRUE,FALSE,mean_period_of_wind_waves,mpww,140236,0
mror,Mean runoff rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_runoff_rate,mror,235048,0
msdrswrf,Mean surface direct short-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_direct_short_wave_radiation_flux,msdrswrf,235058,0
msdrswrfcs,"Mean surface direct short-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_surface_direct_short_wave_radiation_flux_clear_sky,msdrswrfcs,235059,0
msdwlwrf,Mean surface downward long-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_downward_long_wave_radiation_flux,msdwlwrf,235036,0
msdwlwrfcs,"Mean surface downward long-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_surface_downward_long_wave_radiation_flux_clear_sky,msdwlwrfcs,235069,0
msdwswrf,Mean surface downward short-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_downward_short_wave_radiation_flux,msdwswrf,235035,0
msdwswrfcs,"Mean surface downward short-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_surface_downward_short_wave_radiation_flux_clear_sky,msdwswrfcs,235068,0
msdwuvrf,Mean surface downward UV radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_downward_uv_radiation_flux,msdwuvrf,235027,0
mser,Mean snow evaporation rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_snow_evaporation_rate,mser,235023,0
msl,Mean sea level pressure,Pa,TRUE,TRUE,FALSE,mean_sea_level_pressure,msl,151,151
mslhf,Mean surface latent heat flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_latent_heat_flux,mslhf,235034,0
msmr,Mean snowmelt rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_snowmelt_rate,msmr,235024,0
msnlwrf,Mean surface net long-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_net_long_wave_radiation_flux,msnlwrf,235038,0
msnlwrfcs,"Mean surface net long-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_surface_net_long_wave_radiation_flux_clear_sky,msnlwrfcs,235052,0
msnswrf,Mean surface net short-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_net_short_wave_radiation_flux,msnswrf,235037,0
msnswrfcs,"Mean surface net short-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_surface_net_short_wave_radiation_flux_clear_sky,msnswrfcs,235051,0
msqs,Mean square slope of waves,dimensionless,TRUE,TRUE,FALSE,mean_square_slope_of_waves,msqs,140244,0
msr,Mean snowfall rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_snowfall_rate,msr,235031,0
msror,Mean surface runoff rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_surface_runoff_rate,msror,235020,0
msshf,Mean surface sensible heat flux,W m**-2,FALSE,TRUE,FALSE,mean_surface_sensible_heat_flux,msshf,235033,0
mssror,Mean sub-surface runoff rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_sub_surface_runoff_rate,mssror,235021,0
mtdwswrf,Mean top downward short-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_top_downward_short_wave_radiation_flux,mtdwswrf,235053,0
mtnlwrf,Mean top net long-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_top_net_long_wave_radiation_flux,mtnlwrf,235040,0
mtnlwrfcs,"Mean top net long-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_top_net_long_wave_radiation_flux_clear_sky,mtnlwrfcs,235050,0
mtnswrf,Mean top net short-wave radiation flux,W m**-2,FALSE,TRUE,FALSE,mean_top_net_short_wave_radiation_flux,mtnswrf,235039,0
mtnswrfcs,"Mean top net short-wave radiation flux, clear sky",W m**-2,FALSE,TRUE,FALSE,mean_top_net_short_wave_radiation_flux_clear_sky,mtnswrfcs,235049,0
mtpr,Mean total precipitation rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_total_precipitation_rate,mtpr,235055,0
mvimd,Mean vertically integrated moisture divergence,kg m**-2 s**-1,FALSE,TRUE,FALSE,mean_vertically_integrated_moisture_divergence,mvimd,235054,0
mwd,Mean wave direction,degrees,TRUE,TRUE,FALSE,mean_wave_direction,mwd,140230,0
mwd1,Mean wave direction of first swell partition,degrees,TRUE,TRUE,FALSE,mean_wave_direction_of_first_swell_partition,p140122,140122,0
mwd2,Mean wave direction of second swell partition,degrees,TRUE,TRUE,FALSE,mean_wave_direction_of_second_swell_partition,p140125,140125,0
mwd3,Mean wave direction of third swell partition,degrees,TRUE,TRUE,FALSE,mean_wave_direction_of_third_swell_partition,p140128,140128,0
mwp,Mean wave period,s,TRUE,TRUE,FALSE,mean_wave_period,mwp,140232,0
mwp1,Mean wave period of first swell partition,s,TRUE,TRUE,FALSE,mean_wave_period_of_first_swell_partition,p140123,140123,0
mwp2,Mean wave period of second swell partition,s,TRUE,TRUE,FALSE,mean_wave_period_of_second_swell_partition,p140126,140126,0
mwp3,Mean wave period of third swell partition,s,TRUE,TRUE,FALSE,mean_wave_period_of_third_swell_partition,p140129,140129,0
mx2t,Maximum temperature at 2 metres since previous post-processing,K,FALSE,TRUE,FALSE,maximum_2m_temperature_since_previous_post_processing,mx2t,201,201
mxtpr,Maximum total precipitation rate since previous post-processing,kg m**-2 s**-1,FALSE,TRUE,FALSE,maximum_total_precipitation_rate_since_previous_post_processing,mxtpr,228226,0
nsss,Northward turbulent surface stress,N m**-2 s,FALSE,TRUE,FALSE,northward_turbulent_surface_stress,nsss,181,181
p1ps,Mean wave period based on first moment for swell,s,TRUE,TRUE,FALSE,mean_wave_period_based_on_first_moment_for_swell,p1ps,140226,0
p1ww,Mean wave period based on first moment for wind waves,s,TRUE,TRUE,FALSE,mean_wave_period_based_on_first_moment_for_wind_waves,p1ww,140223,0
p2ps,Mean wave period based on second moment for swell,s,TRUE,TRUE,FALSE,mean_wave_period_based_on_second_moment_for_swell,p2ps,140227,0
p2ww,Mean wave period based on second moment for wind waves,s,TRUE,TRUE,FALSE,mean_wave_period_based_on_second_moment_for_wind_waves,p2ww,140224,0
pev,Potential evaporation,m,FALSE,TRUE,FALSE,potential_evaporation,pev,228251,507
phiaw,Normalized energy flux into waves,dimensionless,TRUE,TRUE,FALSE,normalized_energy_flux_into_waves,phiaw,140211,0
phioc,Normalized energy flux into ocean,dimensionless,TRUE,TRUE,FALSE,normalized_energy_flux_into_ocean,phioc,140212,0
pp1d,Peak wave period,s,TRUE,TRUE,FALSE,peak_wave_period,pp1d,140231,0
ptype,Precipitation type,code table (4.201),FALSE,TRUE,FALSE,precipitation_type,ptype,260015,0
rhoao,Air density over the oceans,kg m**-3,TRUE,TRUE,FALSE,air_density_over_the_oceans,p140209,140209,0
ro,Runoff,m,FALSE,TRUE,FALSE,runoff,ro,205,205
rsn,Snow density,kg m**-3,TRUE,TRUE,FALSE,snow_density,rsn,33,33
sd,Snow depth,m of water equivalent,TRUE,TRUE,FALSE,snow_depth,sd,141,141
sdfor,Standard deviation of filtered subgrid orography,m,TRUE,FALSE,TRUE,standard_deviation_of_filtered_subgrid_orography,sdfor,74,74
sdor,Standard deviation of sub-gridscale orography,~,TRUE,FALSE,TRUE,standard_deviation_of_orography,sdor,160,160
sf,Snowfall,m of water equivalent,FALSE,TRUE,FALSE,snowfall,sf,144,144
shts,Significant height of total swell,m,TRUE,TRUE,FALSE,significant_height_of_total_swell,shts,140237,0
shww,Significant height of wind waves,m,TRUE,TRUE,FALSE,significant_height_of_wind_waves,shww,140234,0
skt,Skin temperature,K,TRUE,TRUE,FALSE,skin_temperature,skt,235,235
slhf,Surface latent heat flux,J m**-2,FALSE,TRUE,FALSE,surface_latent_heat_flux,slhf,147,147
slor,Slope of sub-gridscale orography,~,TRUE,FALSE,TRUE,slope_of_sub_gridscale_orography,slor,163,163
slt,Soil type1,~,TRUE,FALSE,TRUE,soil_type,slt,43,43
smlt,Snowmelt,m of water equivalent,FALSE,TRUE,FALSE,snowmelt,smlt,45,45
sp,Surface pressure,Pa,TRUE,TRUE,FALSE,surface_pressure,sp,134,134
src,Skin reservoir content,m of water equivalent,TRUE,TRUE,FALSE,skin_reservoir_content,src,198,198
sro,Surface runoff,m,FALSE,TRUE,FALSE,surface_runoff,sro,8,8
sshf,Surface sensible heat flux,J m**-2,FALSE,TRUE,FALSE,surface_sensible_heat_flux,sshf,146,146
ssr,Surface net solar radiation,J m**-2,FALSE,TRUE,FALSE,surface_net_solar_radiation,ssr,176,176
ssrc,"Surface net solar radiation, clear sky",J m**-2,FALSE,TRUE,FALSE,surface_net_solar_radiation_clear_sky,ssrc,210,210
ssrd,Surface solar radiation downwards,J m**-2,FALSE,TRUE,FALSE,surface_solar_radiation_downwards,ssrd,169,169
ssrdc,Surface solar radiation downward clear-sky,J m**-2,FALSE,TRUE,FALSE,surface_solar_radiation_downward_clear_sky,ssrdc,228129,385
ssro,Sub-surface runoff,m,FALSE,TRUE,FALSE,sub_surface_runoff,ssro,9,0
sst,Sea surface temperature,K,TRUE,TRUE,FALSE,sea_surface_temperature,sst,34,0
stl1,Soil temperature level 11,K,TRUE,TRUE,FALSE,soil_temperature_level_1,stl1,139,139
stl2,Soil temperature level 21,K,TRUE,TRUE,FALSE,soil_temperature_level_2,stl2,170,170
stl3,Soil temperature level 31,K,TRUE,TRUE,FALSE,soil_temperature_level_3,stl3,183,183
stl4,Soil temperature level 41,K,TRUE,TRUE,FALSE,soil_temperature_level_4,stl4,236,236
str,Surface net thermal radiation,J m**-2,FALSE,TRUE,FALSE,surface_net_thermal_radiation,str,177,177
strc,"Surface net thermal radiation, clear sky",J m**-2,FALSE,TRUE,FALSE,surface_net_thermal_radiation_clear_sky,strc,211,211
strd,Surface thermal radiation downwards,J m**-2,FALSE,TRUE,FALSE,surface_thermal_radiation_downwards,strd,175,175
strdc,Surface thermal radiation downward clear-sky,J m**-2,FALSE,TRUE,FALSE,surface_thermal_radiation_downward_clear_sky,strdc,228130,386
swh,Significant height of combined wind waves and swell,m,TRUE,TRUE,FALSE,significant_height_of_combined_wind_waves_and_swell,swh,140229,0
swh1,Significant wave height of first swell partition,m,TRUE,TRUE,FALSE,significant_wave_height_of_first_swell_partition,p140121,140121,0
swh2,Significant wave height of second swell partition,m,TRUE,TRUE,FALSE,significant_wave_height_of_second_swell_partition,p140124,140124,0
swh3,Significant wave height of third swell partition,m,TRUE,TRUE,FALSE,significant_wave_height_of_third_swell_partition,p140127,140127,0
swvl1,Volumetric soil water layer 11,m**3 m**-3,TRUE,TRUE,FALSE,volumetric_soil_water_layer_1,swvl1,39,39
swvl2,Volumetric soil water layer 21,m**3 m**-3,TRUE,TRUE,FALSE,volumetric_soil_water_layer_2,swvl2,40,40
swvl3,Volumetric soil water layer 31,m**3 m**-3,TRUE,TRUE,FALSE,volumetric_soil_water_layer_3,swvl3,41,41
swvl4,Volumetric soil water layer 41,m**3 m**-3,TRUE,TRUE,FALSE,volumetric_soil_water_layer_4,swvl4,42,42
t2m,2 metre temperature,K,TRUE,TRUE,FALSE,2m_temperature,t2m,167,167
tauoc,Normalized stress into ocean,dimensionless,TRUE,TRUE,FALSE,normalized_stress_into_ocean,tauoc,140214,0
tcc,Total cloud cover,(0 - 1),TRUE,TRUE,FALSE,total_cloud_cover,tcc,164,164
tciw,Total column cloud ice water,kg m**-2,TRUE,TRUE,FALSE,total_column_cloud_ice_water,tciw,79,79
tclw,Total column cloud liquid water,kg m**-2,TRUE,TRUE,FALSE,total_column_cloud_liquid_water,tclw,78,78
tco3,Total column ozone,kg m**-2,TRUE,TRUE,FALSE,total_column_ozone,tco3,206,206
tcrw,Total column rain water,kg m**-2,TRUE,TRUE,FALSE,total_column_rain_water,tcrw,228089,345
tcslw,Total column supercooled liquid water,kg m**-2,FALSE,TRUE,FALSE,total_column_supercooled_liquid_water,tcslw,228088,0
tcsw,Total column snow water,kg m**-2,TRUE,TRUE,FALSE,total_column_snow_water,tcsw,228090,346
tcw,Total column water,kg m**-2,TRUE,TRUE,FALSE,total_column_water,tcw,136,136
tcwv,Total column water vapour,kg m**-2,TRUE,TRUE,FALSE,total_column_water_vapour,tcwv,137,137
tisr,TOA incident solar radiation,J m**-2,FALSE,TRUE,FALSE,toa_incident_solar_radiation,tisr,212,212
tmax,Period corresponding to maximum individual wave height,s,TRUE,TRUE,FALSE,period_corresponding_to_maximum_individual_wave_height,tmax,140217,0
totalx,Total totals index2,K,FALSE,TRUE,FALSE,total_totals_index,totalx,260123,0
tp,Total precipitation,m,FALSE,TRUE,FALSE,total_precipitation,tp,228,228
tplb,Trapping layer base height,m,FALSE,TRUE,FALSE,trapping_layer_base_height,tplb,228018,0
tplt,Trapping layer top height,m,FALSE,TRUE,FALSE,trapping_layer_top_height,tplt,228019,0
